Method,n,k,elapsed
BruteForce,1024,8,9500
BruteForceIdiomatic,1024,8,6300
Heap,1024,8,28300
BST,1024,8,301000
Linear,1024,8,5700
BruteForce,1024,16,14700
BruteForceIdiomatic,1024,16,15400
Heap,1024,16,30400
BST,1024,16,240900
Linear,1024,16,11600
BruteForce,1024,32,39100
BruteForceIdiomatic,1024,32,39200
Heap,1024,32,13900
BST,1024,32,231500
Linear,1024,32,11800
BruteForce,1024,64,60600
BruteForceIdiomatic,1024,64,57600
Heap,1024,64,9100
BST,1024,64,220700
Linear,1024,64,11100
BruteForce,1024,128,80800
BruteForceIdiomatic,1024,128,80800
Heap,1024,128,7300
BST,1024,128,230300
Linear,1024,128,5500
BruteForce,1024,256,108400
BruteForceIdiomatic,1024,256,112600
Heap,1024,256,6500
BST,1024,256,279500
Linear,1024,256,16500
BruteForce,1024,512,148500
BruteForceIdiomatic,1024,512,118300
Heap,1024,512,15600
BST,1024,512,210800
Linear,1024,512,9100
BruteForce,1024,1024,500
BruteForceIdiomatic,1024,1024,500
Heap,1024,1024,15200
BST,1024,1024,199800
Linear,1024,1024,8000
BruteForce,2048,8,19100
BruteForceIdiomatic,2048,8,17100
Heap,2048,8,92000
BST,2048,8,512200
Linear,2048,8,15700
BruteForce,2048,16,39200
BruteForceIdiomatic,2048,16,39800
Heap,2048,16,71800
BST,2048,16,495100
Linear,2048,16,12800
BruteForce,2048,32,79800
BruteForceIdiomatic,2048,32,85800
Heap,2048,32,56000
BST,2048,32,491800
Linear,2048,32,18800
BruteForce,2048,64,126300
BruteForceIdiomatic,2048,64,129300
Heap,2048,64,45600
BST,2048,64,459800
Linear,2048,64,24700
BruteForce,2048,128,175500
BruteForceIdiomatic,2048,128,182000
Heap,2048,128,25200
BST,2048,128,456200
Linear,2048,128,12400
BruteForce,2048,256,267600
BruteForceIdiomatic,2048,256,275000
Heap,2048,256,28300
BST,2048,256,494200
Linear,2048,256,14700
BruteForce,2048,512,385500
BruteForceIdiomatic,2048,512,396600
Heap,2048,512,22300
BST,2048,512,452800
Linear,2048,512,16000
BruteForce,2048,1024,417800
BruteForceIdiomatic,2048,1024,456900
Heap,2048,1024,20000
BST,2048,1024,456400
Linear,2048,1024,16300
BruteForce,4096,8,47200
BruteForceIdiomatic,4096,8,37700
Heap,4096,8,206000
BST,4096,8,1230100
Linear,4096,8,47600
BruteForce,4096,16,85000
BruteForceIdiomatic,4096,16,81700
Heap,4096,16,185900
BST,4096,16,1089700
Linear,4096,16,58300
BruteForce,4096,32,168300
BruteForceIdiomatic,4096,32,182000
Heap,4096,32,103900
BST,4096,32,1086500
Linear,4096,32,43900
BruteForce,4096,64,264600
BruteForceIdiomatic,4096,64,271300
Heap,4096,64,80200
BST,4096,64,1039300
Linear,4096,64,42500
BruteForce,4096,128,368900
BruteForceIdiomatic,4096,128,370700
Heap,4096,128,71100
BST,4096,128,937000
Linear,4096,128,44000
BruteForce,4096,256,544600
BruteForceIdiomatic,4096,256,570900
Heap,4096,256,92200
BST,4096,256,1320100
Linear,4096,256,54100
BruteForce,4096,512,821900
BruteForceIdiomatic,4096,512,886400
Heap,4096,512,88900
BST,4096,512,939500
Linear,4096,512,49400
BruteForce,4096,1024,1280400
BruteForceIdiomatic,4096,1024,1476600
Heap,4096,1024,97400
BST,4096,1024,974500
Linear,4096,1024,50100
BruteForce,8192,8,95800
BruteForceIdiomatic,8192,8,83900
Heap,8192,8,478800
BST,8192,8,2935000
Linear,8192,8,105400
BruteForce,8192,16,186500
BruteForceIdiomatic,8192,16,181200
Heap,8192,16,384200
BST,8192,16,2401200
Linear,8192,16,105100
BruteForce,8192,32,580900
BruteForceIdiomatic,8192,32,363800
Heap,8192,32,245700
BST,8192,32,2145800
Linear,8192,32,94300
BruteForce,8192,64,502000
BruteForceIdiomatic,8192,64,540200
Heap,8192,64,158300
BST,8192,64,1921800
Linear,8192,64,95400
BruteForce,8192,128,775400
BruteForceIdiomatic,8192,128,762800
Heap,8192,128,159300
BST,8192,128,2123800
Linear,8192,128,104100
BruteForce,8192,256,1046500
BruteForceIdiomatic,8192,256,1102400
Heap,8192,256,148900
BST,8192,256,1863600
Linear,8192,256,99200
BruteForce,8192,512,1843300
BruteForceIdiomatic,8192,512,2058300
Heap,8192,512,151700
BST,8192,512,1910200
Linear,8192,512,104000
BruteForce,8192,1024,2888800
BruteForceIdiomatic,8192,1024,3187900
Heap,8192,1024,192400
BST,8192,1024,1938200
Linear,8192,1024,98900
BruteForce,16384,8,178700
BruteForceIdiomatic,16384,8,162900
Heap,16384,8,1109100
BST,16384,8,6591000
Linear,16384,8,211400
BruteForce,16384,16,405200
BruteForceIdiomatic,16384,16,404300
Heap,16384,16,990800
BST,16384,16,6121700
Linear,16384,16,261000
BruteForce,16384,32,756900
BruteForceIdiomatic,16384,32,763100
Heap,16384,32,669000
BST,16384,32,5526900
Linear,16384,32,235300
BruteForce,16384,64,1146700
BruteForceIdiomatic,16384,64,1119900
Heap,16384,64,533900
BST,16384,64,4752800
Linear,16384,64,214600
BruteForce,16384,128,1519400
BruteForceIdiomatic,16384,128,1482500
Heap,16384,128,368600
BST,16384,128,5080200
Linear,16384,128,209800
BruteForce,16384,256,2227500
BruteForceIdiomatic,16384,256,2380800
Heap,16384,256,355200
BST,16384,256,4095300
Linear,16384,256,226400
BruteForce,16384,512,3608600
BruteForceIdiomatic,16384,512,3746100
Heap,16384,512,422900
BST,16384,512,4127600
Linear,16384,512,238100
BruteForce,16384,1024,5985800
BruteForceIdiomatic,16384,1024,6448900
Heap,16384,1024,318500
BST,16384,1024,3830500
Linear,16384,1024,203600
BruteForce,32768,8,341400
BruteForceIdiomatic,32768,8,305700
Heap,32768,8,2041800
BST,32768,8,13326200
Linear,32768,8,478700
BruteForce,32768,16,706600
BruteForceIdiomatic,32768,16,759500
Heap,32768,16,1772100
BST,32768,16,11923600
Linear,32768,16,442200
BruteForce,32768,32,1420400
BruteForceIdiomatic,32768,32,1473700
Heap,32768,32,1186200
BST,32768,32,11716400
Linear,32768,32,501100
BruteForce,32768,64,2437800
BruteForceIdiomatic,32768,64,2408700
Heap,32768,64,1112600
BST,32768,64,14721600
Linear,32768,64,475000
BruteForce,32768,128,3270200
BruteForceIdiomatic,32768,128,3466700
Heap,32768,128,1162600
BST,32768,128,13090700
Linear,32768,128,549800
BruteForce,32768,256,5041000
BruteForceIdiomatic,32768,256,5283500
Heap,32768,256,782200
BST,32768,256,10672200
Linear,32768,256,460700
BruteForce,32768,512,7148400
BruteForceIdiomatic,32768,512,7599100
Heap,32768,512,620100
BST,32768,512,9711000
Linear,32768,512,404900
BruteForce,32768,1024,11880800
BruteForceIdiomatic,32768,1024,13562900
Heap,32768,1024,662600
BST,32768,1024,10526500
Linear,32768,1024,440800
BruteForce,65536,8,722200
BruteForceIdiomatic,65536,8,649700
Heap,65536,8,4781100
BST,65536,8,33823600
Linear,65536,8,851000
BruteForce,65536,16,1454200
BruteForceIdiomatic,65536,16,1506200
Heap,65536,16,4046900
BST,65536,16,28357300
Linear,65536,16,944800
BruteForce,65536,32,3023100
BruteForceIdiomatic,65536,32,3080900
Heap,65536,32,2698400
BST,65536,32,34520700
Linear,65536,32,858200
BruteForce,65536,64,4521600
BruteForceIdiomatic,65536,64,5016100
Heap,65536,64,2094800
BST,65536,64,31329600
Linear,65536,64,842600
BruteForce,65536,128,6035500
BruteForceIdiomatic,65536,128,6298400
Heap,65536,128,1640400
BST,65536,128,25901900
Linear,65536,128,900300
BruteForce,65536,256,9140200
BruteForceIdiomatic,65536,256,9707900
Heap,65536,256,1591400
BST,65536,256,23999000
Linear,65536,256,843800
BruteForce,65536,512,14944400
BruteForceIdiomatic,65536,512,15472800
Heap,65536,512,1420000
BST,65536,512,24353900
Linear,65536,512,969100
BruteForce,65536,1024,27283200
BruteForceIdiomatic,65536,1024,28440700
Heap,65536,1024,1514300
BST,65536,1024,24956700
Linear,65536,1024,901200
BruteForce,131072,8,1575100
BruteForceIdiomatic,131072,8,1462100
Heap,131072,8,11114500
BST,131072,8,77700100
Linear,131072,8,1776500
BruteForce,131072,16,2798800
BruteForceIdiomatic,131072,16,3212600
Heap,131072,16,7849200
BST,131072,16,80964200
Linear,131072,16,1738700
BruteForce,131072,32,5292800
BruteForceIdiomatic,131072,32,5583600
Heap,131072,32,5702000
BST,131072,32,75545000
Linear,131072,32,1923800
BruteForce,131072,64,8843900
BruteForceIdiomatic,131072,64,9335900
Heap,131072,64,5216600
BST,131072,64,69008000
Linear,131072,64,1951500
BruteForce,131072,128,12954600
BruteForceIdiomatic,131072,128,13639000
Heap,131072,128,3865500
BST,131072,128,71600500
Linear,131072,128,1901000
BruteForce,131072,256,19954900
BruteForceIdiomatic,131072,256,21265500
Heap,131072,256,3158000
BST,131072,256,68536700
Linear,131072,256,1863900
BruteForce,131072,512,32928200
BruteForceIdiomatic,131072,512,36328900
Heap,131072,512,2717000
BST,131072,512,72222500
Linear,131072,512,1754200
BruteForce,131072,1024,52549900
BruteForceIdiomatic,131072,1024,64106800
Heap,131072,1024,2774800
BST,131072,1024,59578000
Linear,131072,1024,1883300
